StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,se tiene en cuenta,razon,showupfee simple,showup fee extendido
2/4/2022 17:48,2/4/2022 18:19,0,186.154.38.166,100,1808,1,2/4/2022 18:19,R_DwXI7H1FigMtXH3,SI,RECIBIDA,no,si
2/6/2022 9:16,2/6/2022 9:48,0,191.95.48.34,100,1900,1,2/6/2022 9:48,R_2bJ0a1nPTrPFrfz,SI,RECIBIDA,no,si
2/5/2022 23:23,2/5/2022 23:55,0,181.78.16.179,100,1921,1,2/5/2022 23:55,R_31XbB48jxR5w5L3,SI,RECIBIDA,no,si
2/4/2022 20:23,2/4/2022 20:55,0,191.156.34.49,100,1929,1,2/4/2022 20:55,R_1jJrX9NR9pvOTP5,SI,RECIBIDA,no,si
2/4/2022 17:06,2/4/2022 17:38,0,186.82.84.198,100,1951,1,2/4/2022 17:38,R_Qgh3w1nyBAIXzWN,SI,RECIBIDA,no,si
2/6/2022 8:09,2/6/2022 8:41,0,191.95.156.29,100,1959,1,2/6/2022 8:41,R_2EgbcuE1sV92vnQ,SI,RECIBIDA,no,si
2/4/2022 16:25,2/4/2022 16:58,0,201.182.251.138,100,1977,1,2/4/2022 16:58,R_51rJtiRzUy9iCzv,SI,RECIBIDA,no,si
2/6/2022 14:02,2/6/2022 14:38,0,190.251.177.217,100,2161,1,2/6/2022 14:38,R_3KJeJJFKD7JgMgF,SI,RECIBIDA,no,si
1/28/2022 18:17,1/28/2022 18:54,0,181.58.39.208,100,2227,1,1/28/2022 18:54,R_26euWoOsF2LjFRn,SI,RECIBIDA,no,si
2/5/2022 16:26,2/5/2022 17:03,0,186.80.54.74,100,2254,1,2/5/2022 17:03,R_3fYSnnJWNRoWZ9A,SI,RECIBIDA,no,si
2/4/2022 16:17,2/4/2022 16:55,0,186.99.119.16,100,2263,1,2/4/2022 16:55,R_AgJflBdsRHLgTlL,SI,RECIBIDA,no,si
2/4/2022 21:04,2/4/2022 21:43,0,181.52.108.32,100,2327,1,2/4/2022 21:43,R_2QgRMIhveiIfB5v,SI,RECIBIDA,no,si
2/5/2022 3:54,2/5/2022 4:33,0,181.33.222.2,100,2329,1,2/5/2022 4:33,R_SUC23EM5eTKYoZH,SI,RECIBIDA,no,si
2/6/2022 7:13,2/6/2022 7:52,0,186.119.75.56,100,2353,1,2/6/2022 7:52,R_3QDwyWjTDo6uOb0,SI,RECIBIDA,no,si
2/4/2022 16:51,2/4/2022 17:31,0,186.154.31.27,100,2368,1,2/4/2022 17:31,R_sng4IIas2mXDVT3,SI,RECIBIDA,no,si
1/28/2022 15:52,1/28/2022 16:31,0,181.51.34.205,100,2371,1,1/28/2022 16:31,R_1r0OYzbCploPARI,SI,RECIBIDA,no,si
1/28/2022 17:03,1/28/2022 17:42,0,186.102.188.31,100,2378,1,1/28/2022 17:42,R_3safOCr1ie2jjq4,SI,RECIBIDA,no,si
2/5/2022 7:29,2/5/2022 8:10,0,191.91.89.181,100,2437,1,2/5/2022 8:10,R_3NQzbvUqqwoztG6,SI,RECIBIDA,no,si
2/4/2022 16:33,2/4/2022 17:14,0,186.84.212.255,100,2438,1,2/4/2022 17:14,R_3FV5FCPDmTBFwTw,SI,RECIBIDA,no,si
2/3/2022 11:12,2/3/2022 11:53,0,190.158.25.239,100,2457,1,2/3/2022 11:53,R_1FtemuKdLSdhT7v,SI,RECIBIDA,no,si
2/4/2022 16:16,2/4/2022 16:57,0,191.95.131.25,100,2485,1,2/4/2022 16:57,R_2w6y5yd4gMfTph5,SI,RECIBIDA,no,si
2/4/2022 16:29,2/4/2022 17:11,0,186.102.46.161,100,2486,1,2/4/2022 17:11,R_2BevZ3kfICkRkiT,SI,RECIBIDA,no,si
2/5/2022 6:17,2/5/2022 6:58,0,190.67.197.64,100,2501,1,2/5/2022 6:58,R_2Sjd0Em3XJ8K0F0,SI,RECIBIDA,no,si
2/7/2022 5:07,2/7/2022 5:49,0,191.156.151.10,100,2524,1,2/7/2022 5:49,R_PAKioIYqu80BAqZ,SI,RECIBIDA,no,si
1/29/2022 10:17,1/29/2022 10:59,0,190.66.66.129,100,2530,1,1/29/2022 10:59,R_2v0yKa6efl2OZH4,SI,RECIBIDA,no,si
1/29/2022 13:22,1/29/2022 14:05,0,181.237.138.206,100,2536,1,1/29/2022 14:05,R_24sO4yTFAIoT2DL,SI,RECIBIDA,no,si
2/4/2022 17:38,2/4/2022 18:21,0,186.82.117.84,100,2543,1,2/4/2022 18:21,R_1dmiWD6Tg2MAdtz,SI,RECIBIDA,no,si
2/5/2022 7:09,2/5/2022 7:51,0,181.140.169.22,100,2546,1,2/5/2022 7:51,R_8Aee8b4t9VkqKYx,SI,RECIBIDA,no,si
2/4/2022 18:10,2/4/2022 18:53,0,181.225.107.122,100,2562,1,2/4/2022 18:53,R_1pm5WJHKtR8ssJO,SI,RECIBIDA,no,si
2/4/2022 17:10,2/4/2022 17:52,0,179.19.136.222,100,2563,1,2/4/2022 17:52,R_1jJlu9PxK7x8rOm,SI,RECIBIDA,no,si
2/6/2022 12:16,2/6/2022 12:59,0,191.95.166.85,100,2577,1,2/6/2022 12:59,R_3LbEa8xmPrcueXT,SI,RECIBIDA,no,si
2/4/2022 17:41,2/4/2022 18:25,0,179.13.166.70,100,2582,1,2/4/2022 18:25,R_ezCPI6h4FASdSAF,SI,RECIBIDA,no,si
2/4/2022 18:35,2/4/2022 19:18,0,179.12.39.59,100,2582,1,2/4/2022 19:18,R_1OSPDKyNOudU7Yd,SI,RECIBIDA,no,si
1/28/2022 16:00,1/28/2022 16:43,0,177.255.163.50,100,2591,1,1/28/2022 16:43,R_1QoUjM4ydCNbjLA,SI,RECIBIDA,no,si
2/6/2022 7:34,2/6/2022 8:17,0,179.12.44.164,100,2609,1,2/6/2022 8:18,R_3oAVCGqa7FlBsT4,SI,RECIBIDA,no,si
2/4/2022 14:22,2/4/2022 15:05,0,186.84.22.116,100,2613,1,2/4/2022 15:05,R_1jJTL3XYZUekYMH,SI,RECIBIDA,no,si
2/4/2022 17:11,2/4/2022 17:55,0,191.95.35.179,100,2627,1,2/4/2022 17:55,R_1E3PzHkjPA2dUrf,SI,RECIBIDA,no,si
2/6/2022 7:13,2/6/2022 7:57,0,186.155.105.87,100,2637,1,2/6/2022 7:57,R_2SCbTAwAMIy14CS,SI,RECIBIDA,no,si
2/5/2022 15:00,2/5/2022 15:44,0,138.117.86.5,100,2646,1,2/5/2022 15:44,R_XXifu6SlXPpeNvH,SI,RECIBIDA,no,si
1/28/2022 16:45,1/28/2022 17:30,0,201.233.80.209,100,2658,1,1/28/2022 17:30,R_DIUloeVd7XhAud3,SI,RECIBIDA,no,si
2/5/2022 8:22,2/5/2022 9:06,0,181.140.55.242,100,2660,1,2/5/2022 9:06,R_1hFoeI7GcmtM6vO,SI,RECIBIDA,no,si
2/3/2022 14:53,2/3/2022 15:37,0,191.95.133.142,100,2666,1,2/3/2022 15:38,R_1n6jjOWfqhTqaMs,SI,RECIBIDA,no,si
2/4/2022 16:17,2/4/2022 17:01,0,181.78.18.133,100,2673,1,2/4/2022 17:01,R_1dayANdpu9xvQK5,SI,RECIBIDA,no,si
2/4/2022 17:12,2/4/2022 17:57,0,191.95.175.211,100,2673,1,2/4/2022 17:57,R_3gNrXDaN5wyYoiJ,SI,RECIBIDA,no,si
2/4/2022 16:41,2/4/2022 17:26,0,181.78.20.11,100,2674,1,2/4/2022 17:26,R_2awNQ6lhMVGWgK2,SI,RECIBIDA,no,si
2/4/2022 16:57,2/4/2022 17:42,0,191.95.26.228,100,2684,1,2/4/2022 17:42,R_BJ8C8jEYV0P7iVz,SI,RECIBIDA,no,si
2/6/2022 8:24,2/6/2022 9:09,0,181.51.32.200,100,2684,1,2/6/2022 9:09,R_3MyvJT8cv5cgBrE,SI,RECIBIDA,no,si
2/6/2022 15:56,2/6/2022 16:42,0,190.157.40.38,100,2710,1,2/6/2022 16:42,R_3JxQipgNrmkECO7,SI,RECIBIDA,no,si
2/4/2022 16:19,2/4/2022 17:04,0,181.51.32.204,100,2712,1,2/4/2022 17:04,R_27OU8nagHW1HYvK,SI,RECIBIDA,no,si
2/4/2022 18:36,2/4/2022 19:21,0,181.71.193.239,100,2717,1,2/4/2022 19:21,R_qWoXAAAau8ZlRcd,SI,RECIBIDA,no,si
2/4/2022 16:18,2/4/2022 17:04,0,181.58.151.224,100,2718,1,2/4/2022 17:04,R_22yNuuPpLC7kVfH,SI,RECIBIDA,no,si
2/4/2022 16:18,2/4/2022 17:03,0,201.185.33.10,100,2726,1,2/4/2022 17:03,R_1MStOFegSvCsrK7,SI,RECIBIDA,no,si
2/5/2022 4:30,2/5/2022 5:16,0,186.102.47.242,100,2733,1,2/5/2022 5:16,R_AiyxAQoSeI8fixz,SI,RECIBIDA,no,si
1/29/2022 0:12,1/29/2022 0:58,0,191.156.39.250,100,2747,1,1/29/2022 0:58,R_3M9fGN2HPnb4Dup,SI,RECIBIDA,no,si
2/4/2022 16:19,2/4/2022 17:05,0,190.61.43.106,100,2772,1,2/4/2022 17:05,R_3gTbvgEhvAihUsa,SI,RECIBIDA,no,si
2/6/2022 12:11,2/6/2022 12:57,0,179.12.41.64,100,2774,1,2/6/2022 12:57,R_1JKsJrtAn4wh9Gi,SI,RECIBIDA,no,si
2/6/2022 7:21,2/6/2022 8:07,0,190.157.180.77,100,2777,1,2/6/2022 8:07,R_3lYPvTvHaP7Ov3X,SI,RECIBIDA,no,si
2/4/2022 19:07,2/4/2022 19:54,0,191.95.60.79,100,2802,1,2/4/2022 19:54,R_2czKeNgd9UxUswR,SI,RECIBIDA,no,si
2/4/2022 20:31,2/4/2022 21:19,0,181.51.152.180,100,2842,1,2/4/2022 21:19,R_11cG62aaF32JFgv,SI,RECIBIDA,no,si
2/6/2022 17:04,2/6/2022 17:51,0,191.92.139.10,100,2842,1,2/6/2022 17:51,R_3knQ400x2ZdT4RD,SI,RECIBIDA,no,si
1/28/2022 15:51,1/28/2022 16:39,0,181.154.103.48,100,2845,1,1/28/2022 16:39,R_O44PjntCE1bUQjT,SI,RECIBIDA,no,si
2/7/2022 10:34,2/7/2022 11:22,0,191.95.128.2,100,2846,1,2/7/2022 11:22,R_bNrLl9eMOCvcKXv,SI,RECIBIDA,no,si
2/4/2022 16:25,2/4/2022 17:12,0,190.130.88.74,100,2855,1,2/4/2022 17:12,R_1ifcwItO7J0Qvlg,SI,RECIBIDA,no,si
2/5/2022 14:59,2/5/2022 15:47,0,190.90.242.222,100,2878,1,2/5/2022 15:47,R_3pr4W3JLZhVVGHR,SI,RECIBIDA,no,si
2/4/2022 16:28,2/4/2022 17:16,0,190.28.214.239,100,2890,1,2/4/2022 17:16,R_3hyzkjL6keWbJaM,SI,RECIBIDA,no,si
2/4/2022 16:37,2/4/2022 17:26,0,181.50.102.102,100,2919,1,2/4/2022 17:26,R_3r2p9tvTCoAmXIn,SI,RECIBIDA,no,si
2/7/2022 10:59,2/7/2022 11:47,0,181.51.208.114,100,2921,1,2/7/2022 11:47,R_3RwsBBhuUfP2jRj,SI,RECIBIDA,no,si
2/7/2022 12:56,2/7/2022 13:45,0,186.81.100.156,100,2939,1,2/7/2022 13:45,R_0oHbJiRIMuw1igh,SI,RECIBIDA,no,si
2/4/2022 16:17,2/4/2022 17:06,0,181.139.156.248,100,2944,1,2/4/2022 17:06,R_Aze6JeebA6aWSoV,SI,RECIBIDA,no,si
2/4/2022 17:49,2/4/2022 18:38,0,186.31.215.103,100,2949,1,2/4/2022 18:38,R_3qPULco5SMRRNVX,SI,RECIBIDA,no,si
2/6/2022 12:31,2/6/2022 13:20,0,190.128.57.178,100,2951,1,2/6/2022 13:20,R_1DUAMBuX1CMmZHO,SI,RECIBIDA,no,si
2/4/2022 19:12,2/4/2022 20:02,0,181.234.155.111,100,2953,1,2/4/2022 20:02,R_50jqxWODRREVRUR,SI,RECIBIDA,no,si
2/4/2022 17:30,2/4/2022 18:19,0,190.96.147.42,100,2954,1,2/4/2022 18:19,R_2CqyBNMszV1v0eD,SI,RECIBIDA,no,si
2/7/2022 10:49,2/7/2022 11:38,0,181.234.159.149,100,2954,1,2/7/2022 11:38,R_3ly0DRIg8EJkvW7,SI,RECIBIDA,no,si
2/4/2022 17:06,2/4/2022 17:55,0,191.95.166.1,100,2957,1,2/4/2022 17:55,R_2WGy7VfasZL0sLG,SI,RECIBIDA,no,si
2/4/2022 16:58,2/4/2022 17:48,0,181.57.67.229,100,2961,1,2/4/2022 17:48,R_25FnbXBMICVnVOa,SI,RECIBIDA,no,si
2/6/2022 20:38,2/6/2022 21:28,0,191.106.150.129,100,2973,1,2/6/2022 21:28,R_3QDgTWgAYZpAIoJ,SI,RECIBIDA,no,si
2/5/2022 17:55,2/5/2022 18:44,0,186.82.84.48,100,2991,1,2/5/2022 18:44,R_AANZPn0NjDVVO6d,SI,RECIBIDA,no,si
2/4/2022 20:14,2/4/2022 21:04,0,181.56.113.195,100,3007,1,2/4/2022 21:04,R_ddm90FBfbbbXOsF,SI,RECIBIDA,no,si
2/4/2022 21:42,2/4/2022 22:32,0,161.18.6.245,100,3007,1,2/4/2022 22:32,R_2cuc3xrriHblKO1,SI,RECIBIDA,no,si
2/4/2022 16:17,2/4/2022 17:07,0,191.102.120.26,100,3008,1,2/4/2022 17:07,R_30eplevK4RCHvqb,SI,RECIBIDA,no,si
2/1/2022 11:02,2/1/2022 11:52,0,181.51.162.56,100,3010,1,2/1/2022 11:52,R_1ob7kQo8DQm4ZWL,SI,RECIBIDA,no,si
1/28/2022 16:23,1/28/2022 17:13,0,190.71.21.36,100,3018,1,1/28/2022 17:13,R_0ihGKSU6fgKVTnH,SI,RECIBIDA,no,si
2/6/2022 7:11,2/6/2022 8:02,0,191.97.4.114,100,3021,1,2/6/2022 8:02,R_AgMifVCLEq4tM0p,SI,RECIBIDA,no,si
2/4/2022 16:31,2/4/2022 17:22,0,191.95.129.112,100,3055,1,2/4/2022 17:22,R_325zX4aVSKEKaEQ,SI,RECIBIDA,no,si
2/4/2022 22:46,2/4/2022 23:37,0,186.145.207.56,100,3062,1,2/4/2022 23:37,R_1FM0cCjtZi25I6Q,SI,RECIBIDA,no,si
2/5/2022 7:22,2/5/2022 8:13,0,191.88.232.190,100,3075,1,2/5/2022 8:13,R_3PMm3GXXyl7Ukbo,SI,RECIBIDA,no,si
1/29/2022 6:21,1/29/2022 7:13,0,186.84.90.241,100,3079,1,1/29/2022 7:13,R_2PhTUyAw6OLpFl0,SI,RECIBIDA,no,si
2/6/2022 8:06,2/6/2022 8:57,0,181.134.18.241,100,3082,1,2/6/2022 8:57,R_1DzId3iFRKww7YQ,SI,RECIBIDA,no,si
2/2/2022 11:41,2/2/2022 12:32,0,45.168.236.68,100,3086,1,2/2/2022 12:32,R_21EXJ3XvQJI1z5H,SI,RECIBIDA,no,si
2/4/2022 16:15,2/4/2022 17:07,0,191.95.136.59,100,3090,1,2/4/2022 17:07,R_1CeBD1FZQkwuimZ,SI,RECIBIDA,no,si
2/4/2022 22:14,2/4/2022 23:06,0,18.228.14.120,100,3096,1,2/4/2022 23:06,R_2tu5xSN1x7Ow6q9,SI,RECIBIDA,no,si
2/7/2022 12:45,2/7/2022 13:36,0,191.156.254.40,100,3101,1,2/7/2022 13:36,R_2cC3znoYa2h7prB,SI,RECIBIDA,no,si
2/4/2022 16:21,2/4/2022 17:13,0,186.0.67.233,100,3110,1,2/4/2022 17:13,R_1C1tlw1KoRuLOQA,SI,RECIBIDA,no,si
2/4/2022 17:25,2/4/2022 18:17,0,190.251.112.121,100,3110,1,2/4/2022 18:17,R_29cBsCOCzymOwUS,SI,RECIBIDA,no,si
2/4/2022 16:53,2/4/2022 17:45,0,186.86.52.235,100,3112,1,2/4/2022 17:45,R_2ahLgvUFJL9L3Df,SI,RECIBIDA,no,si
2/5/2022 5:05,2/5/2022 5:57,0,181.55.68.1,100,3118,1,2/5/2022 5:57,R_9YPD0h105eIUq2d,SI,RECIBIDA,no,si
2/5/2022 6:36,2/5/2022 7:28,0,179.14.195.201,100,3118,1,2/5/2022 7:28,R_3qyhnjpeXE0A4rX,SI,RECIBIDA,no,si
2/4/2022 19:12,2/4/2022 20:04,0,186.84.88.192,100,3129,1,2/4/2022 20:04,R_2TuCkcTNAXoa8PL,SI,RECIBIDA,no,si
2/4/2022 22:43,2/4/2022 23:35,0,190.84.131.9,100,3149,1,2/4/2022 23:35,R_2bNm6wZALZNdT9L,SI,RECIBIDA,no,si
2/7/2022 10:39,2/7/2022 11:32,0,190.68.206.3,100,3150,1,2/7/2022 11:32,R_AiIjv4IPXmgRSbn,SI,RECIBIDA,no,si
2/5/2022 7:14,2/5/2022 8:07,0,177.254.61.182,100,3172,1,2/5/2022 8:07,R_1JJYuT147PkD9aX,SI,RECIBIDA,no,si
1/28/2022 16:44,1/28/2022 17:37,0,190.66.69.25,100,3198,1,1/28/2022 17:37,R_zcLNUCKmd8pGY8h,SI,RECIBIDA,no,si
2/4/2022 16:21,2/4/2022 17:14,0,181.58.39.218,100,3210,1,2/4/2022 17:14,R_3CNPqcTfYlkczmn,SI,RECIBIDA,no,si
1/28/2022 16:27,1/28/2022 17:21,0,191.95.131.22,100,3211,1,1/28/2022 17:21,R_1GwqYVJa0GlKmcp,SI,RECIBIDA,no,si
2/7/2022 11:03,2/7/2022 11:57,0,186.86.52.74,100,3211,1,2/7/2022 11:57,R_bsKanECKvmgjmb7,SI,RECIBIDA,no,si
2/4/2022 16:17,2/4/2022 17:11,0,191.95.136.57,100,3212,1,2/4/2022 17:11,R_t0qtB72vhy2Uh1f,SI,RECIBIDA,no,si
2/6/2022 7:53,2/6/2022 8:46,0,201.221.172.40,100,3213,1,2/6/2022 8:46,R_3MhZcqiweLAb7Eg,SI,RECIBIDA,no,si
2/4/2022 17:47,2/4/2022 18:40,0,186.29.230.64,100,3216,1,2/4/2022 18:40,R_SBgCxCYRsqGijfP,SI,RECIBIDA,no,si
1/29/2022 7:53,1/29/2022 8:47,0,201.233.104.61,100,3235,1,1/29/2022 8:47,R_wY5P5VA1zf50hqN,SI,RECIBIDA,no,si
1/28/2022 15:59,1/28/2022 16:53,0,191.88.155.99,100,3237,1,1/28/2022 16:53,R_8vxO3DuravRBtzX,SI,RECIBIDA,no,si
2/4/2022 16:20,2/4/2022 17:14,0,191.95.141.117,100,3245,1,2/4/2022 17:14,R_1QF9mJEWTIcBfVf,SI,RECIBIDA,no,si
2/7/2022 12:24,2/7/2022 13:18,0,190.7.146.235,100,3250,1,2/7/2022 13:18,R_27d83PHFG7YE40f,SI,RECIBIDA,no,si
2/4/2022 16:16,2/4/2022 17:10,0,181.235.47.117,100,3259,1,2/4/2022 17:10,R_1mlbdtbT5AtPOn6,SI,RECIBIDA,no,si
1/28/2022 15:53,1/28/2022 16:47,0,186.82.84.250,100,3268,1,1/28/2022 16:47,R_1o1kjIVO1BDdK0l,SI,RECIBIDA,no,si
2/6/2022 9:44,2/6/2022 10:39,0,191.95.60.13,100,3270,1,2/6/2022 10:39,R_1N4w91RecRPWRJR,SI,RECIBIDA,no,si
2/1/2022 15:21,2/1/2022 16:16,0,181.60.27.86,100,3302,1,2/1/2022 16:16,R_2CqzG6RtLS0UnTM,SI,RECIBIDA,no,si
2/5/2022 11:20,2/5/2022 12:15,0,67.73.231.128,100,3308,1,2/5/2022 12:15,R_ezgHYJbPK5t5UY1,SI,RECIBIDA,no,si
2/7/2022 13:35,2/7/2022 14:30,0,186.28.33.109,100,3308,1,2/7/2022 14:30,R_2SxgninQAEROTnd,SI,RECIBIDA,no,si
2/4/2022 20:42,2/4/2022 21:37,0,186.83.255.69,100,3312,1,2/4/2022 21:37,R_2zRPpHDRP92jfLL,SI,RECIBIDA,no,si
2/4/2022 19:51,2/4/2022 20:47,0,181.78.21.149,100,3320,1,2/4/2022 20:47,R_3qDS4xQE8wFCxaR,SI,RECIBIDA,no,si
2/4/2022 20:41,2/4/2022 21:37,0,181.235.157.47,100,3326,1,2/4/2022 21:37,R_2fGIDxAtpgB84E6,SI,RECIBIDA,no,si
2/4/2022 18:44,2/4/2022 19:39,0,181.60.45.86,100,3328,1,2/4/2022 19:39,R_3PAJPPOBBvZ5SgZ,SI,RECIBIDA,no,si
2/4/2022 16:27,2/4/2022 17:22,0,190.84.119.127,100,3329,1,2/4/2022 17:22,R_2TGlnaURtshfQNN,SI,RECIBIDA,no,si
2/4/2022 17:21,2/4/2022 18:16,0,181.56.85.206,100,3333,1,2/4/2022 18:16,R_1PTWmFg4RmNwACp,SI,RECIBIDA,no,si
